Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",Control of Corruption: Estimate,Cooling Degree Days,Economic and Social Rights Performance Score,Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Fertility rate, total (births per woman)",Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),Government Effectiveness: Estimate,"Government expenditure on education, total (% of government expenditure)",Heat Index 35,Heating Degree Days,Individuals using the Internet (% of population),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Land Surface Temperature,"Life expectancy at birth, total (years)","Mammal species, threatened",Methane emissions (metric tons of CO2 equivalent per capita),"Mortality rate, under-5 (per 1,000 live births)",Net migration,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,"School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)",Scientific and technical journal articles,Standardised Precipitation-Evapotranspiration Index,Strength of legal rights index (0=weak to 12=strong),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss (hectares),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Voice and Accountability: Estimate
Montenegro,62.0,99.7984313964844,0.186951053343759,0.134664038098015,19.00074349442379,6.043989062828641,,4.06756091201437,1.41387631975863,-0.11826478689909,404.33,2.393004847,3.76,1.75,100.56,61.486988847583646,6.406680328792746,-0.0270149894058704,,0.0,5410.56,88.22192026,68.181,14.9396151,75.93170731707318,6.0,1.2606302224668682,2.3,-1326.0,0.24249433129569,21.25685256,-0.0591769814491272,15.966123384959,46.03799256505576,2.5,27.1604938271605,77.17197889676271,0.543230414390564,39.56,-0.12540140748024,100.693969726562,1.01363003253937,309.32,0.016015434,12.0,9.20551041023177,508.0,14.389,0.272411823272705
Morocco,98.2,100.0,0.1310600309277632,0.0,67.87138695944432,10.331554597273406,36.45862068965518,1.818526387309992,8.9061293772705,-0.357442885637283,2412.57,2.342832949,3.36,2.353,106.07,12.890335424602286,1.2585439842097088,-0.131649643182755,23.865665435791,2.23,1635.66,88.13031937,47.7,31.6240698,73.92,18.0,0.3278879167719214,18.0,-33807.0,0.2369562486855652,35.05284088,-0.319889187812805,7.15127378958437,83.0754738964822,6.3,24.0506329113924,29.023422051004115,-0.0868896543979645,10.92,-0.197303429245949,114.169990539551,0.971239984035492,6452.54,-1.620080249,2.0,1.58449768865645,1538.0,9.774,-0.560848236083984
Mozambique,5.4,31.4940395355225,0.714577297489826,0.0,52.66389277448562,26.726292449376302,1.4685942173479565,0.2227675527152126,54.4396366039944,-0.836388111114502,4049.63,2.005376017,11.79,4.713,161.67,46.412173122409015,4.35982933697187,-0.714270293712616,18.7598094940186,2.73,34.38,17.37283681,79.084,31.5621568,61.172,17.0,0.5213718629201605,69.6,11745.0,0.3078987851430608,20.77406654,-1.28796994686127,2.6001260045508,40.790803428367965,30.5,42.4,98.41741967871484,-0.726218461990356,80.91,-1.02147579193115,121.177581787109,0.938370943069458,173.37,-1.394777957,1.0,17.9843847324332,278039.0,3.674,-0.606529355049133
Myanmar,43.5,72.4668197631836,5.37335654646892,2.23156112061214,19.88753887875956,22.334350076849493,3.313821300358996,0.6340803483909743,21.5972988139263,-1.15162312984467,4062.15,2.132098813,3.59,2.174,76.96,43.29014662846461,4.037492992641802,-1.68404102325439,9.82004833221436,24.8,335.14,44.02167324,59.277,27.3737596,66.797,49.0,1.349788474662262,41.8,-66228.0,0.4297108842117613,29.43314277,-2.21174263954163,6.45415218310218,82.42769546631528,3.8,15.2941176470588,59.40018609977811,-1.23508405685425,59.75,-1.52855384349823,118.851997375488,1.01078999042511,418.5,-0.896203728,2.0,3.93739447059454,304152.0,2.923,-1.80904972553253
Namibia,47.3,55.2253189086914,3.055861165528581,0.879551754746021,47.14256215914198,8.379594562486046,4.576298701298701,1.588045147278251,45.1503326089775,0.215328231453896,2936.25,1.924724179,3.51,3.349,100.53,7.977614206415722,7.562779020273155,0.0394995212554932,24.7069206237793,0.0,527.82,52.9734788,60.406,34.9369527,62.829,15.0,2.143659940669271,39.0,-4301.0,1.575295900764052,24.19978552,0.556306064128876,4.03264556076137,3.073219643139113,17.1,44.2307692307692,87.68909345104386,-0.0150013873353601,31.3,0.404543519020081,132.985763549805,,198.74,0.124205939,5.0,23.2471763532217,4.0,19.627,0.561278462409973
Nauru,100.0,100.0,,,20.0,,,3.361753958587089,,0.601521968841553,6191.25,2.044603095,5.31,3.571,99.71,0.0,1.5748031496062964,0.199985399842262,6.98449230194092,0.0,0.0,83.93521594,,30.3784444,63.437,2.0,0.3484687779131141,27.6,-68.0,0.0324959805115712,5.857163356,0.880902826786041,2.11936662606577,625.55,,10.5263157894737,,0.0192454010248184,2.09,-0.0235836617648602,94.9424133300781,1.00600004196167,0.9,,,0.0,0.0,,0.618146777153015
Nepal,35.2,89.9,0.4929933198744861,0.490205974630525,28.7478200209278,21.060748643083567,4.79167507568113,0.5093662473546038,24.8208329609614,-0.532641351222992,1393.38,2.253280752,5.69,2.055,123.18,41.59072200906871,5.613193163476396,-0.917344748973846,12.4379253387451,7.73,5218.27,51.63135772,42.672,22.1270492,69.246,29.0,0.8056142483258246,27.2,306664.0,0.2445688628295968,83.10319363,-0.251907497644424,6.03979862431386,209.52207185211023,5.4,33.0909090909091,53.16833518724509,-0.650234937667847,74.54,-0.448678463697433,118.803955078125,0.954387962818146,1464.1,0.280909505,10.0,23.6260419815167,2753.0,10.968,-0.049159400165081
Netherlands,100.0,100.0,0.302246219230329,0.0,53.816453816453816,1.5049830525095742,75.5090909090909,7.471553478771895,6.00082384419398,1.91718029975891,227.08,2.502264079,2.98,1.54,101.0,11.001980991980991,4.328918317871967,1.57946932315826,11.019962310791,0.0,4676.17,92.51968504,83.04,14.4053112,81.35853658536585,3.0,0.8715177364332197,4.1,58816.0,0.4779927818708253,12.0392862,0.717304825782776,19.6470630241117,520.7319275319276,2.5,40.6666666666667,87.56667801611621,1.71227204799652,10.79,1.65742564201355,104.378402709961,1.0083099603653,33376.81,0.519479004,2.0,25.3069573160867,2457.0,3.515,1.54186487197876
New Zealand,100.0,100.0,0.436464953580026,0.0,38.64266453989594,5.652008114827865,3.0198776758409784,6.160799182743311,4.35473043131918,2.16333413124084,75.35,2.502148983,3.87,1.61,100.57,37.6306509437545,2.851100834976947,1.34053194522858,14.2881803512573,0.0,4926.87,95.91020269,82.85,14.4384611,82.25609756097562,9.0,6.334119877411497,4.7,38220.0,2.929135250088405,6.048305496,1.31238234043121,15.5784074852007,19.41209980631195,2.5,50.4201680672269,88.02011411896513,1.86519300937653,28.61,1.73179721832275,97.9169464111328,1.02979004383087,8983.48,1.20595938,12.0,30.6047651708977,66243.0,3.73,1.63967132568359
Nicaragua,57.4,86.2914733886719,2.235019932764524,0.0,42.30513544955959,16.784327536556688,0.8149414250048013,0.6782521042733789,9.45054216988521,-1.28731179237366,4985.16,2.312248596,4.62,2.349,127.92,27.484876184144923,3.7505743908815816,-1.03581631183624,22.6876468658447,1.42,0.0,57.14684935,67.912,27.4382818,71.795,7.0,1.4187324268657224,13.3,-10384.0,0.5280374795641436,20.43900913,-0.34842848777771,5.0583597688863,56.92654146584677,17.8,51.6483516483517,59.86534595916786,-0.91473376750946,52.13,-1.30988025665283,107.179901123047,,37.67,-0.680577378,2.0,9.96216337484655,91851.0,4.746,-1.34889101982117
Niger,3.0,18.6,0.869997407034889,0.0,36.78455830109734,41.9879437271377,73.80879428571428,0.0903255776910309,59.1736143290551,-0.585803985595703,6487.62,2.028539904,4.97,6.892,132.61,0.8425673008605037,11.489690622874775,-0.639215767383575,12.3714513778687,15.81,164.49,22.38613931,74.361,39.9366333,61.451,13.0,1.1744792223637408,115.2,-4403.0,0.5443452259647643,80.10926696,-1.47217929363251,2.43561192051078,19.93583484645141,16.1,25.9036144578313,73.81762564765303,-0.72080385684967,81.91,-0.484884023666382,64.7559127807617,,63.65,-1.517631137,6.0,18.1990211559394,0.0,0.533,-0.381765067577362
Nigeria,16.8,59.5,2.7409788711695744,0.0,75.36919310034367,23.691871840460323,5.643438914027149,0.5375101753895509,65.2078910458964,-1.10103046894073,5891.83,1.440397917,6.56,5.309,119.85,23.56648769722323,3.251681408270926,-1.03512346744537,,19.51,3.17,55.36371347,59.053,35.1876053,52.887,31.0,0.725107550780465,110.8,-4824.0,0.1977478804576863,70.39625682,-1.79814147949219,3.00253320729103,234.30868715482504,15.9,3.61111111111111,79.2009953419212,-1.15594470500946,82.51,-0.913734316825867,86.7234268188477,0.969380021095276,7899.95,-1.33781401,9.0,11.6082522536748,97193.0,3.576,-0.59521096944809
North America,100.0,100.0,0.919912814142897,0.0,25.802696483653648,1.0179686032540507,8.480047843586805,13.088837460357404,5.256393821088266,,,,4.404043555570936,1.6178563043027996,,36.61244105348219,2.0796924636798764,,11.0546884536743,,,91.86313226516796,73.42108788918217,,77.46351685085729,62.0,2.295521637030876,6.1,871032.0,0.8254790400546242,7.605692729210635,,16.40848109370668,20.64664493107616,2.5,29.48051948051948,84.34787654473982,,12.599051231324587,,98.1231002807617,0.98827999830246,521772.61881826265,,10.0,12.76022583807638,,3.847239961261261,
North Macedonia,79.2,100.0,0.0004595537248983,0.0,49.960348929421095,8.124000447550076,29.614444444444445,3.2794201872010595,1.28361099483121,-0.323431134223938,637.85,2.302631649,3.31,1.31,100.68,39.7101506740682,2.1466564663967063,-0.0810714960098267,,0.0,4918.83,83.01821027,63.792,18.4383114,74.39512195121951,6.0,1.1434203444966564,5.3,-486.0,0.2637560147471859,30.26931856,0.11759065836668,14.5855552500235,81.88310864393338,3.6,41.6666666666667,67.93766631080801,0.452958881855011,20.26,-0.0962801203131676,92.1178970336914,0.991859972476959,427.34,-0.013106307,9.0,15.3937555751986,2304.0,13.15,0.159953981637955
Norway,100.0,100.0,7.71310815458361,0.0,2.704038213413128,1.6550630758993337,0.7044764397905758,6.725080049633097,7.67957977902199,2.0677604675293,16.16,2.522422942,3.53,1.48,102.72,33.45814917506245,3.015889479658142,1.94218063354492,10.2669334411621,0.0,9506.48,98.99997764,80.361,-0.4378843,83.20975609756097,8.0,0.8072834726437059,2.2,10756.0,0.6548956039390461,6.642383374,0.860958337783813,17.7299264903652,14.847009086666484,2.5,44.9704142011834,89.94539497633784,1.5161395072937,61.29,1.76217150688171,98.9731903076172,0.977140009403229,13262.07,0.058571706,5.0,15.1951994587447,63937.0,3.501,1.77486836910248
OECD members,98.02857704251932,99.99996648070152,0.8486010124878675,0.0070683397927171,33.92086978348014,1.4622904332182918,7.925709870590892,7.718906924765033,6.729335496782167,,,,3.5712881314331626,1.588582627667858,,32.92768005481114,2.77355162959509,,11.0546884536743,,,87.38720082870358,72.80271188459655,,78.90003953670863,515.0,1.2787258355256734,6.49938518639537,2540918.0,0.5497309336012861,13.828680293918262,,17.39647435573788,38.82950337187189,2.721154878465562,32.522123893805315,78.24622995900332,,14.903523884916556,,101.075828552246,1.00249004364014,1556361.6,,6.421052631578948,18.106790682900893,,4.835775886708961,
Oman,100.0,100.0,23.974678078591857,0.0014540858030593,4.737382875605816,1.8407969226302805,116.71428571428572,15.636201002817495,9.76462365102089,0.0523995123803616,6367.15,2.218525248,7.17,2.687,170.06,0.0078620355411954,4.311253509069914,0.0220412891358137,,72.47,40.01,96.38007504,69.976,43.1890584,74.757,10.0,4.366528902700379,10.1,-164408.0,0.2271231269804831,44.57247023,0.529911398887634,2.75632877019262,14.605722132471728,2.8,2.32558139534884,36.22128256150507,0.432644993066788,0.05,0.500481188297272,90.096809387207,0.960020005702972,1083.3,-2.471065153,1.0,1.51770524267221,0.0,1.495,-1.147820353508
Other small states,58.10070521599165,79.43171378573284,6.721000760933233,0.3953831324835812,38.52217428372002,2.043672633616251,1.2189500367772006,5.610561863416677,34.6433312454864,,,,5.907992888315923,2.887689994308473,,28.615118151863264,4.2049774196638765,,14.3199806213379,,,65.6681685051207,65.85309001844666,,68.25557483229822,234.0,2.706754544513491,44.44952378663153,-210580.0,0.4383783622630526,35.68130758606486,,5.6101041016537705,16.10025360096636,19.809459618004112,23.072747014115084,76.12327886901782,,27.577629153269022,,103.434791564941,1.00821995735168,9004.869999999997,,4.653846153846154,22.71085381399497,,9.293370808121372,
Pacific island small states,31.56459424488688,85.86980687793616,1.0592578464182163,0.6382903298748757,11.777240841777084,18.23601129377515,,0.8485210682950376,15.108932863591471,,,,3.3408994406262056,3.258622231824247,,68.57209664848013,8.216668504162811,,,,,65.23708552921366,68.74760335699384,,69.36492110040345,54.0,0.6766513158894335,23.4426605219874,-11924.0,0.1709390603700533,11.500186912077128,,4.633670175573278,40.56388152766952,10.938018672289402,8.753315649867378,72.42467432274576,,29.6534541062802,,106.687438964844,1.01818001270294,255.50915573652503,,8.777777777777779,1.2282094390922802,,3.720674853256041,
Pakistan,50.7,94.9228591918945,1.0670335939369893,0.130323504356218,47.09293275217933,22.351912923316515,344.7090909090909,0.8103602155103097,33.1479592293348,-0.804032683372498,4105.07,1.894857352,3.97,3.555,122.43,4.779680365296803,4.705802951980289,-0.623640716075897,9.40440368652344,65.34,2866.82,21.0372074,55.05,32.747228,66.269,25.0,0.7457335697434146,63.3,-588736.0,0.303577213504132,62.57424987,-1.90026199817657,4.17417916257474,300.17916796388545,18.5,20.4678362573099,30.188865572151585,-0.886412620544434,46.6,-0.672492206096649,84.3684616088867,0.87747997045517,17038.18,-1.792655144,2.0,9.7949549891578,63.0,5.717,-0.862237751483917
Palau,43.0,100.0,,,9.347826086956522,3.457708811391316,,8.802581793901624,,0.601521968841553,6070.11,2.073779589,12.7,0.85,,90.19565217391305,-13.72208932148378,0.449828535318375,,0.0,0.0,,,26.5250771,,4.0,1.0864846427776542,16.2,7.0,0.0,6.873805482,1.09686291217804,9.15312708657912,39.18260869565217,,6.25,,0.442982524633408,0.88,0.952804446220398,104.825736999512,1.03905999660492,5.69,2.176281951,10.0,99.9574564668585,3.0,,1.06481456756592
Panama,100.0,95.251082548876,1.33230932839822,0.0,29.405715826368294,2.619447470881373,0.8868228404099562,2.2314430248165285,13.3672704197102,-0.634607255458832,4656.4,2.028311887,1.52,2.344,115.45,56.65170261526018,10.80936611817856,-0.127450808882713,11.7598056793213,0.17,3.95,67.509728,67.589,27.1853772,76.657,17.0,1.1753318718161996,13.9,5473.0,0.2919295463203673,13.20059479,0.297832071781158,8.36375961092554,58.65822324076571,5.3,22.5352112676056,65.90421074683147,0.127132147550583,28.43,-0.360025137662888,101.455993652344,1.01088798046112,258.87,1.03668771,8.0,27.6812733080565,24390.0,7.648,0.538583040237427
Papua New Guinea,9.7,20.9166011810303,20.56109510438177,2.04173427478903,3.1819988517422604,16.931950290959236,0.0489513108614232,0.5632515662116755,30.2720267838858,-0.696246027946472,3786.2,1.753261404,5.27,3.274,100.55,79.1022170207128,5.165051357976935,-0.807290256023407,9.22710037231445,0.9,113.46,32.05416291,48.753,26.5634996,65.787,41.0,1.1133479974645215,42.8,10695.0,0.1748246171140678,16.2311858,-0.609061777591705,3.03358380411995,21.970227001722385,23.4,1.73913043478261,96.52182952182952,-0.682209134101868,53.48,-0.616135001182556,109.501403808594,0.894339978694916,59.61,0.440637703,9.0,0.716264057887505,76613.0,2.739,-0.014180064201355
Paraguay,69.8,100.0,1.3754345455551644,1.31212300286654,42.308431915429146,10.998794024105145,2.062393162393162,1.14459119207034,13.954068845618,-1.09022343158722,4605.98,2.298381343,3.32,2.497,85.44,39.826143216712815,0.0754394653406791,-0.613315761089325,10.943473815918,15.69,317.03,76.25916611,74.011,30.6882972,73.182,10.0,4.548712986472409,18.2,-8230.0,1.7006041054920948,12.51891553,0.0359779521822929,6.16223439817064,16.8733929020891,4.2,17.5,72.22323368410831,-0.169901669025421,61.44,-0.590548574924469,93.2309494018555,,153.54,-1.42042101,1.0,14.3147200277861,277165.0,5.629,0.001824835781008
Peru,85.5,95.6,7.640820792086638,0.127763204772216,19.93413203125,7.833334766199266,2.349177330895795,1.3985660186190825,17.5375809963723,-0.807577431201935,2605.6,2.264841375,2.46,2.216,128.07,56.373072890625,2.683871434776308,-0.39776611328125,16.5109806060791,0.44,1960.29,74.67495125,75.567,26.8735117,73.665,53.0,0.9512098407206466,14.1,79456.0,0.3062782756913157,30.82669477,-0.446338385343552,8.25253456293149,26.34021171875,7.0,40.0,82.87266416840622,0.20857498049736,31.62,-0.551391065120697,107.663269042969,0.96017998456955,2701.5,-0.766767773,7.0,16.807255128297,225204.0,3.506,0.0513254441320896
Philippines,48.0,97.4899749755859,1.31061280291685,0.0,42.536137102994935,9.549349894444925,17.92633549895616,1.1896794516728382,24.281664665108,-0.540948450565338,5254.98,2.031795568,2.79,2.777,100.51,24.226045544488045,7.570332487950267,0.0647772029042244,15.696400642395,11.43,1.69,52.67573808,61.725,27.8117087,72.119,38.0,0.5858047463121744,25.7,-41937.0,0.1288497764842532,18.82613108,-0.712976396083832,5.22218731894015,381.9308716504008,5.2,27.3311897106109,64.59328179517001,0.0627855956554413,29.06,-0.518337488174438,91.8715515136719,1.02612137794495,3071.81,0.811463621,1.0,3.72208503336371,48883.0,2.244,-0.0568434745073318
Poland,100.0,100.0,0.320485035782842,0.0,47.368376347598826,2.8400372290745377,16.169776119402986,7.367563372927092,5.85222082210651,0.506694495677948,252.39,2.53806107,3.47,1.39,111.71,31.01927474681477,5.26036442513194,0.25948902964592,11.1692733764648,0.0,5725.43,86.94113568,73.222,12.6880541,76.5,4.0,0.7794487265782511,4.3,-779.0,0.603297238428278,22.6420051,0.500283241271973,18.3740401768053,123.31631492976152,2.5,28.2608695652174,77.08725674827369,0.717305660247803,16.14,0.430609285831451,95.7681884765625,0.980530023574829,36766.63,-0.230330306,7.0,37.9898464603864,77568.0,2.804,0.60035628080368
Portugal,100.0,100.0,0.2487247881865204,0.0920450146147144,43.253856751115656,1.854789534396664,16.130342105263157,3.784907586917108,8.5170034449767,0.729021430015564,948.61,2.482781515,2.41,1.41,110.34,36.15499489114202,6.827510875940689,1.00159108638763,9.70918846130371,0.0,2548.84,84.49690644,76.368,22.8125554,80.97560975609757,13.0,1.1054792984536104,3.1,40535.0,0.3002927799635644,8.254802244,0.860719680786133,22.2967255949746,113.11351052774066,2.5,36.9565217391304,86.868607519364,0.762673318386078,31.21,1.11392903327942,104.925727844238,0.997269988059998,17098.9,-0.84486198,2.0,17.2081902511757,37224.0,6.47,1.25333595275879
Post-demographic dividend,99.57416937029966,99.99876805866802,0.7533097134062212,0.0076597406235554,33.581566465414504,1.2609391787012034,9.042859638969624,8.551705587593181,6.313317318186358,,,,3.695368818575552,1.475738156967085,,32.29850259132561,2.408632577515178,,10.8769035339355,,,89.28684740519476,75.21241707764672,,80.00445805475394,347.0,1.3265380707060912,4.665435296579627,2267432.0,0.5931037496116316,11.547592553813525,,19.68255802114687,35.823673391938115,2.6742853503946065,33.57166428335717,82.4038646718086,,14.502075397871362,,99.9626312255859,0.996469974517822,1454673.543692809,,5.972222222222222,17.76376476560936,,4.4678845712193445,
Pre-demographic dividend,19.577396871286755,50.52705270243911,7.671995755795778,1.3189494422284411,42.63856879379631,17.701596109548266,4.749497740072637,0.4770246146547738,54.769077222358106,,,,5.956816808277054,4.916276204523911,,25.63083760160056,3.9799462899246834,,14.4039645195007,,,35.173082917525456,64.0602104163737,,60.24953183887335,799.0,0.8384533359155375,76.46520698659194,57214.0,0.4154352923831956,47.04563195512429,,2.825936730704538,49.78379646107128,22.62579357841848,24.555004377006124,79.79233737565713,,73.86341777686684,,98.569206237793,0.911300003528595,25908.419999999995,,5.1891891891891895,13.087498826205069,,5.519162398306602,
Qatar,100.0,100.0,8.752723012808065,6.71549392942257e-05,6.440382941688425,0.2559634669744821,446.4285714285714,31.726842451324725,4.95048572778131,0.803727507591248,6470.48,2.202368618,7.17,1.816,145.71,0.0,4.2088712407766025,1.13682854175568,9.31910991668701,128.45,112.19,100.0,89.623,40.406681,79.099,4.0,11.1246766012712,5.3,-163999.0,0.2184185224162571,76.04929303,0.958558142185211,1.25582119885451,233.96301131418625,,4.44444444444444,66.40674350450982,0.870516777038574,0.06,0.919315934181213,102.090957641602,,2346.63,-2.502014642,1.0,5.84456472341856,0.0,0.132,-1.04874444007874
Romania,100.0,100.0,0.7507157515411059,0.0,56.84544506258693,4.471479635992439,15.13921661160925,3.5641375014598826,5.32769761915331,0.0166723933070898,592.37,2.178865259,2.42,1.8,85.18,30.115829276773297,4.59536094592346,4.70589620817918e-05,8.14435482025146,0.0,5357.06,85.50309124,65.936,17.4377448,74.25365853658539,9.0,0.8543341628060886,6.4,-12724.0,0.475044769624064,15.67108952,0.488021969795227,18.6858929427591,83.11047896383866,2.5,19.0909090909091,68.6122402707824,0.364533066749573,24.06,0.404155731201172,90.7731704711914,0.999409973621368,9710.46,0.135630465,9.0,24.363064282357,14699.0,5.616,0.563367962837219
Russian Federation,72.9,100.0,9.459642366132766,0.0,13.158436257966263,3.901417713210528,1.503246753246753,11.232288067243402,3.9034529707424,-0.97938734292984,164.16,2.315473758,8.42,1.505,126.44,49.784336078872215,-2.069711525277313,-0.695411026477814,8.9350471496582,0.0,13023.39,90.41799163,75.528,-4.2552286,71.3387804878049,34.0,4.284124742364362,5.1,340711.0,0.4805271243517502,11.59553193,-0.918995440006256,15.3060701838106,8.80085645181283,2.5,16.2222222222222,78.85932770431737,-1.14197266101837,3.72,-1.19529402256012,104.132827758789,0.979820013046265,89967.04,-0.905713065,9.0,8.57435466162575,6518852.0,3.159,-1.26163399219513
Rwanda,5.4,48.7004356384277,3.835111401247957,3.83393831185775,81.25091203891365,24.897046548376164,6.421052631578947,0.1051241400472617,38.1809158837927,0.561202585697174,1406.27,2.132673351,3.49,3.873,117.31,11.228212403729229,8.160383875348344,0.232485979795456,12.4994096755981,0.0,46.97,30.46181693,62.133,26.9385388,66.774,24.0,0.2039290196025334,39.4,-1579.0,0.1526057923857566,36.18491574,0.0305139776319265,3.10210547610455,545.6784758816376,31.6,61.25,82.9035123375939,0.16292978823185,81.39,0.146466091275215,134.93034362793,1.02298998832703,263.99,0.228144201,11.0,9.10524749828135,2922.0,14.945,-0.930956423282623
Samoa,37.2,98.3,0.285481445508287,0.285481445508287,17.77338129496403,9.992650083786405,,0.9607823979081463,10.3658660641934,0.55392199754715,5004.33,2.492262885,4.53,3.997,83.05,57.98201438848921,-5.30629089966979,0.304703801870346,16.2149887084961,0.0,0.0,78.24573185,57.563,25.6885721,72.768,2.0,1.2437778754844624,16.7,-1060.0,0.2349353786599295,11.01483371,1.07860910892487,5.01420233146218,78.69208633093525,4.6,12.962962962963,61.50144083657646,-0.272904604673386,37.57,0.945017695426941,104.122589111328,,22.15,-0.536756148,9.0,0.316984132239908,,9.484,0.976826727390289
San Marino,100.0,100.0,,,38.333333333333336,0.0166253927822017,,,,1.27020359039307,521.71,2.396153978,,,,16.666666666666664,8.463071844288777,1.77110064029694,7.89780330657959,0.0,4346.05,74.8623274,,20.6355733,,0.0,,1.7,-138.0,,9.906728131,1.20484304428101,19.6988855235687,562.4166666666666,,33.3333333333333,,0.545899748802185,,1.74978172779083,97.7879028320312,0.97299998998642,11.28,-1.558981238,1.0,,0.0,,1.22723925113678
Sao Tome and Principe,3.7,78.4511108398438,1.86421938591053,1.86421938591053,43.75,13.874745541464929,1.8761467889908248,0.6453501401841375,30.9546637024882,0.284455984830856,5141.54,2.146287707,3.43,3.893,107.25,53.41666666666666,0.0652824380846794,-0.843731462955475,17.0863285064697,0.0,0.0,51.20409155,56.272,25.5905743,67.785,4.0,0.0530373854857963,15.4,0.0,0.0797391294404983,31.05885758,0.607801914215088,3.78863067768625,232.403125,13.1,14.5454545454545,53.6019536019536,-0.89024293422699,40.75,-0.614071309566498,,,2.09,,0.0,0.244688049194266,0.0,14.242,0.285293698310852
Saudi Arabia,100.0,100.0,5.101572608508406,0.0010970860347741,80.77304169438383,2.4049226051108628,974.1666666666669,14.266585367540786,7.13055653028488,0.35694831609726,5932.05,2.223663782,6.23,2.465,172.66,0.4544841349217794,8.680736101689362,0.583050787448883,,34.57,508.37,100.0,63.067,41.3134485,76.239,11.0,2.851076679578723,6.7,-1025295.0,0.2291628382803096,61.50824107,-0.362989008426666,2.39663290714769,16.723525717661616,3.8,19.8675496688742,43.18372352006406,0.418585479259491,0.06,0.290623277425766,,0.988870024681091,17321.16,-2.356992689,3.0,4.52837191846974,0.0,5.007,-1.48996067047119
Senegal,29.4,67.975341796875,2.293777337239041,0.0,49.400093491923336,15.488528071573455,11.866666666666664,0.649800561203009,43.7546078460253,-0.0287281088531017,7305.09,2.054122611,3.51,4.454,177.49,41.69822884745235,4.153856493903163,-0.0012492777314037,22.1659870147705,61.52,0.0,58.05481906,51.813,37.4383355,68.006,19.0,0.7156660726497495,38.6,-10090.0,0.366464533357021,60.21139678,-0.15329946577549,3.17310898192517,87.65761180075832,5.7,44.2424242424242,58.83393055533822,-0.296521306037903,38.64,-0.26250022649765,83.2787017822266,1.17587995529175,395.73,-0.849393764,6.0,15.4830077887576,177.0,2.965,0.164923653006554
Serbia,80.6,100.0,0.637500290915707,0.0,41.44369128314901,6.459893678300355,63.33412632330201,6.714517172175142,2.70973223805172,-0.456187754869461,591.1,2.360262794,5.26,1.48,98.37,32.38125817576407,2.5499555701369587,0.0656684786081314,7.08668994903564,0.0,4926.07,83.53825397,73.206,19.0637254,74.47804878048781,6.0,1.7009118821717415,5.5,243.0,0.6339499000308155,25.35417205,-0.172904297709465,20.7446461876994,81.27394458318469,2.5,36.5546218487395,75.04972961822386,0.137092441320419,26.01,-0.113290347158909,96.618049621582,1.01266002655029,4741.34,-0.390258703,6.0,8.1379898947208,4072.0,7.836,-0.099995344877243
Seychelles,100.0,100.0,0.127901944467986,0.127901944467986,3.369565217391304,2.8670990254937725,,6.080518372570129,13.4850864126618,1.69814908504486,5683.03,2.232378773,3.13,2.29,149.83,73.26086956521739,9.00030736732218,0.662167310714722,10.6487627029419,0.0,0.0,81.59307191,,26.2996898,77.23658536585367,6.0,0.9617535597489388,13.9,146.0,0.0410224858320976,15.5639189,0.756404340267181,7.63811238510376,215.77826086956523,4.3,22.8571428571429,,0.327582836151123,1.75,0.460202544927597,97.6453704833984,1.05606997013092,32.82,-0.719894129,2.0,32.8254369363743,0.0,,0.597845077514648
Sierra Leone,0.800000000000001,27.4940490722656,8.14750253502331,7.98067457858795,54.710446106954834,60.446113458161655,0.132625,0.1272776072781416,56.6757595572297,-0.563655316829681,5299.96,1.724214679,5.54,4.08,104.72,34.84552507619839,3.45753985565149,-1.16025280952454,33.4194717407227,3.6,0.0,18.0,54.904,28.2192086,59.763,22.0,0.436131520518049,104.7,1292.0,0.1371789285120057,51.09606544,-0.0895016714930534,3.14715725542131,116.66169298974783,27.8,12.3287671232877,91.47621330776197,-1.05557787418365,71.17,-0.828648924827576,151.726318359375,,65.14,-0.032970415,5.0,5.09579596628128,113033.0,3.205,-0.142346099019051
