Country Name,Access to clean fuels and technologies for cooking (% of population),Access to electricity (% of population),Adjusted savings: natural resources depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",CO2 emissions (metric tons per capita),"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",Control of Corruption: Estimate,Cooling Degree Days,Economic and Social Rights Performance Score,Energy intensity level of primary energy (MJ/$2017 PPP GDP),"Fertility rate, total (births per woman)",Food production index (2014-2016 = 100),Forest area (% of land area),GDP growth (annual %),Government Effectiveness: Estimate,"Government expenditure on education, total (% of government expenditure)",Heat Index 35,Heating Degree Days,Individuals using the Internet (% of population),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",Land Surface Temperature,"Life expectancy at birth, total (years)","Mammal species, threatened",Methane emissions (metric tons of CO2 equivalent per capita),"Mortality rate, under-5 (per 1,000 live births)",Net migration,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Political Stability and Absence of Violence/Terrorism: Estimate,Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Prevalence of undernourishment (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Regulatory Quality: Estimate,Renewable energy consumption (% of total final energy consumption),Rule of Law: Estimate,"School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)",Scientific and technical journal articles,Standardised Precipitation-Evapotranspiration Index,Strength of legal rights index (0=weak to 12=strong),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss (hectares),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Voice and Accountability: Estimate
Lower middle income,59.67117157824399,91.1284906964302,2.812718236103997,0.2269523053528355,42.058380100545136,15.493868310840323,18.35117017734186,1.5461170221038794,28.32644521945447,,,,4.504750085878163,2.656199697618732,,24.252455409789206,5.201163497674941,,13.11277532577515,,,49.01220546712528,57.69735286671915,,68.55190231609006,1255.0,0.6904596228092116,43.7,-1135079.0,0.2721884253186495,62.55557781102536,,5.8188618717288,131.4804662463239,14.128461508819322,21.834971700923443,52.37450824453789,,33.672007044717986,,101.678001403809,0.994870007038116,316669.6199999999,,5.648148148148148,11.868673261906522,,4.901235489460841,
Luxembourg,100.0,100.0,0.0062078798527294,0.0062078798527294,51.587905813257926,0.2413406596241406,4.78,12.456953232691276,5.3566112640065,1.88360249996185,246.13,2.300353866,2.0,1.36,114.89,34.45382721036644,1.3801858908320668,1.77271509170532,10.994065284729,0.0,5251.36,98.24203749,74.148,14.5944752,82.1439024390244,0.0,0.8815771923117799,2.7,6952.0,0.5687100991562754,10.06890585,1.06388890743256,14.5581492371108,248.62068161866955,2.5,33.3333333333333,86.29037072413587,1.83396697044373,20.79,1.76914703845978,98.4758377075195,0.992569983005524,946.94,0.481374008,3.0,55.8024476992907,1055.0,5.286,1.53623878955841
Madagascar,1.4,35.1209335327148,5.609784696080134,5.56282992984534,70.29047782743211,21.88829649578051,3.993323442136498,0.0972695405949092,45.459444882299,-1.00865089893341,3279.06,2.053954075,9.46,3.918,105.91,21.34169250601581,3.796199089347695,-0.987728238105774,13.8535928726196,0.38,191.17,19.73016812,86.407,32.1876854,65.182,121.0,0.6739351668193259,66.0,-742.0,0.271579089796319,17.8593854,-0.531038582324982,3.2461993638906,49.700331729116535,51.0,18.5430463576159,94.01411657559196,-0.815499842166901,83.63,-0.942355334758759,138.192260742188,1.01898002624512,163.25,-1.014869194,2.0,3.0845716307135,234880.0,1.82,-0.28731495141983
Malawi,1.6,14.188422203064,4.289989986222995,4.27755159035225,64.17055579126007,21.7620875918847,8.406443618339528,0.0846361581872503,49.647247988715,-0.610480070114136,2871.71,2.271640814,2.95,3.995,146.13,23.33156554942724,0.9234362901074888,-0.840930998325348,15.8293504714966,0.4,147.35,24.40560063,69.55,31.686427,63.717,10.0,0.2265409061776706,41.9,-1775.0,0.2608681667978441,22.34665143,-0.152863919734955,2.78899873440563,210.9645948239288,17.8,22.9166666666667,85.58138287889756,-0.739736258983612,75.17,-0.218995496630669,126.438255310059,0.988529980182648,292.24,-1.910293487,11.0,22.876047912822,16564.0,5.026,0.0689592435956001
Malaysia,93.8,100.0,5.9839635622809695,1.75101701637688,26.08735352305585,8.92077642247193,1.1563793103448274,7.383715412229153,18.138603074633,0.249183893203735,5056.6,2.246856017,4.51,1.818,102.8,58.02431897732461,8.650344223722882,0.993270576000214,20.14967918396,2.78,0.0,97.3986404,69.401,27.9384117,75.938,71.0,1.1197471616936787,7.6,57483.0,0.2790692126651954,16.59099631,0.140358164906502,7.01171985186864,102.18802008826664,2.7,13.5746606334842,66.18012980016931,0.644006609916687,5.84,0.561897993087769,97.7554931640625,1.03951001167297,21884.84,1.253318029,7.0,8.84608979586651,277554.0,3.61,-0.0020934494677931
Maldives,99.5,100.0,0.0040654557906182,0.0040654557906182,19.666666666666664,4.923552848118458,15.666666666666668,2.8263852981311643,8.15932122841673,-0.401500523090363,6235.3,2.344126087,3.11,1.712,94.49,2.733333333333333,13.906676399718748,-0.134175449609756,10.1824188232422,0.0,0.0,85.76058262,66.378,,79.875,2.0,0.2676031319614803,6.0,1134.0,0.0179199631442467,10.94405416,0.667752325534821,4.38400740225256,1738.19,,4.59770114942529,54.14201559855975,-0.657294631004334,1.04,-0.027355907484889,97.830451965332,0.991879999637604,23.42,,2.0,0.0683315875771864,0.0,4.216,-0.24384805560112
Mali,0.900000000000001,53.3801879882813,15.49784258359273,2.34355585839533,35.34777370737344,36.42129847518616,8.643333333333333,0.1955659714173173,60.2543251797839,-0.879449665546417,7254.08,1.746066993,5.31,6.035,136.03,10.896663634352027,3.727269733832131,-1.19682347774506,18.1899967193604,40.93,66.53,34.49,68.01,39.5628172,58.633,14.0,1.0869976743353291,97.1,-14978.0,0.7108401996038455,60.62414043,-2.47940897941589,2.49587496065782,17.952108278218965,12.8,28.5714285714286,62.85505570098009,-0.634121775627136,63.76,-0.999322295188904,72.6488876342773,0.898059785366058,98.9,-1.373919269,6.0,7.52704976821247,130.0,3.253,-0.902199983596802
Malta,100.0,100.0,,,27.34375,0.9386035622888476,81.85993960396038,3.125557892775919,7.00213354268577,0.238677814602852,1830.38,2.502469268,1.38,1.13,75.95,1.4375,6.915792165143358,0.80439019203186,12.6663818359375,0.0,810.66,91.54075982,79.85,25.7601736,82.34878048780489,2.0,0.4429874527489075,5.8,10854.0,0.0930898760410764,12.9910498,0.913422584533691,18.8412715044687,1620.425,4.6,27.8481012658228,78.12705817782657,0.674093782901764,9.18,0.787202715873718,95.4136581420898,1.00477004051208,526.85,-0.750648488,2.0,7.57946523097307,0.0,2.601,1.07677125930786
Marshall Islands,66.7,99.7535781860352,,,38.88888888888889,20.62811662614947,,2.5338032386612306,,0.385005086660385,5900.9,2.137588568,9.93,2.777,90.84,52.22222222222223,-0.6755257386497675,0.230687335133553,11.1508703231812,0.0,0.0,,,27.51,64.977,1.0,0.7350570105728699,29.7,-1901.0,0.0161134913505171,9.044039796,1.05626726150513,3.91122577078558,233.61111111111111,,6.06060606060606,,-0.394462466239929,12.06,0.725977838039398,105.104331970215,1.01206004619598,1.58,,10.0,0.270441084218892,,,1.1020542383194
Mauritania,48.3,47.6958427429199,7.28682389560168,0.653043646000412,38.52721451440768,22.23098877754597,337.04999999999995,0.8551764058361215,52.7128002020344,-0.798844754695892,6813.65,1.854595428,3.42,4.455,116.51,0.2982116037644319,6.376095487415711,-0.701024174690247,5.03963994979858,45.75,142.8,58.75818983,42.036,38.6870858,64.532,18.0,1.533086391022637,40.5,-1494.0,0.7276336808040894,66.8117824,-0.507473766803741,3.30473668106113,4.477514310662657,8.7,20.2614379084967,46.12912241475685,-1.06221723556519,23.44,-0.658643126487732,86.6899032592773,1.06951999664307,20.9,-1.458631559,2.0,1.08070314491607,0.0,10.625,-0.727800726890564
